"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_ghlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067007406","CA","06067007406","=""06067007406""","24.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007413","CA","06067007413","=""06067007413""","24.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007414","CA","06067007414","=""06067007414""","18.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007415","CA","06067007415","=""06067007415""","17.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007416","CA","06067007416","=""06067007416""","20.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007417","CA","06067007417","=""06067007417""","15.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007421","CA","06067007421","=""06067007421""","12.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007422","CA","06067007422","=""06067007422""","17.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007423","CA","06067007423","=""06067007423""","25.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007424","CA","06067007424","=""06067007424""","21.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007426","CA","06067007426","=""06067007426""","17.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007427","CA","06067007427","=""06067007427""","13.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007428","CA","06067007428","=""06067007428""","15.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007429","CA","06067007429","=""06067007429""","17.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007430","CA","06067007430","=""06067007430""","14.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007431","CA","06067007431","=""06067007431""","13.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007432","CA","06067007432","=""06067007432""","13.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007433","CA","06067007433","=""06067007433""","14.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007501","CA","06067007501","=""06067007501""","19.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007503","CA","06067007503","=""06067007503""","18.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007504","CA","06067007504","=""06067007504""","16.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007601","CA","06067007601","=""06067007601""","15.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007602","CA","06067007602","=""06067007602""","16.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007701","CA","06067007701","=""06067007701""","21.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007702","CA","06067007702","=""06067007702""","12.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007801","CA","06067007801","=""06067007801""","16.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007802","CA","06067007802","=""06067007802""","12.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007903","CA","06067007903","=""06067007903""","14.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007904","CA","06067007904","=""06067007904""","14.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007905","CA","06067007905","=""06067007905""","13.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007906","CA","06067007906","=""06067007906""","13.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008005","CA","06067008005","=""06067008005""","13.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008006","CA","06067008006","=""06067008006""","13.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008007","CA","06067008007","=""06067008007""","14.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008008","CA","06067008008","=""06067008008""","13.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008009","CA","06067008009","=""06067008009""","13.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008010","CA","06067008010","=""06067008010""","12.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008111","CA","06067008111","=""06067008111""","14.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008113","CA","06067008113","=""06067008113""","14.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008117","CA","06067008117","=""06067008117""","16.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008119","CA","06067008119","=""06067008119""","15.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008120","CA","06067008120","=""06067008120""","13.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008122","CA","06067008122","=""06067008122""","13.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008124","CA","06067008124","=""06067008124""","13.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008125","CA","06067008125","=""06067008125""","14.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008127","CA","06067008127","=""06067008127""","14.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008128","CA","06067008128","=""06067008128""","16.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008129","CA","06067008129","=""06067008129""","16.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008130","CA","06067008130","=""06067008130""","15.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008131","CA","06067008131","=""06067008131""","17.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008132","CA","06067008132","=""06067008132""","17.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008133","CA","06067008133","=""06067008133""","15.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008134","CA","06067008134","=""06067008134""","15.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008135","CA","06067008135","=""06067008135""","17.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008136","CA","06067008136","=""06067008136""","12.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008137","CA","06067008137","=""06067008137""","15.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008138","CA","06067008138","=""06067008138""","14.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008139","CA","06067008139","=""06067008139""","19.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008140","CA","06067008140","=""06067008140""","14.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008141","CA","06067008141","=""06067008141""","20.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008142","CA","06067008142","=""06067008142""","16.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008143","CA","06067008143","=""06067008143""","13.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008144","CA","06067008144","=""06067008144""","12.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008145","CA","06067008145","=""06067008145""","13.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008203","CA","06067008203","=""06067008203""","15.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008204","CA","06067008204","=""06067008204""","13.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008206","CA","06067008206","=""06067008206""","11.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008207","CA","06067008207","=""06067008207""","11.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008208","CA","06067008208","=""06067008208""","16.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008209","CA","06067008209","=""06067008209""","12.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008210","CA","06067008210","=""06067008210""","13.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008211","CA","06067008211","=""06067008211""","13.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008402","CA","06067008402","=""06067008402""","12.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008403","CA","06067008403","=""06067008403""","12.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008404","CA","06067008404","=""06067008404""","16.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008501","CA","06067008501","=""06067008501""","8.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008504","CA","06067008504","=""06067008504""","9.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008505","CA","06067008505","=""06067008505""","9.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008506","CA","06067008506","=""06067008506""","9.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008507","CA","06067008507","=""06067008507""","9.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008508","CA","06067008508","=""06067008508""","8.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
