"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_mhlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067008135","CA","06067008135","=""06067008135""","16.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008136","CA","06067008136","=""06067008136""","16.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008137","CA","06067008137","=""06067008137""","16.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008138","CA","06067008138","=""06067008138""","15.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008139","CA","06067008139","=""06067008139""","21.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008140","CA","06067008140","=""06067008140""","17.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008141","CA","06067008141","=""06067008141""","21.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008142","CA","06067008142","=""06067008142""","19.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008143","CA","06067008143","=""06067008143""","18.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008144","CA","06067008144","=""06067008144""","15.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008145","CA","06067008145","=""06067008145""","16.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008203","CA","06067008203","=""06067008203""","15.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008204","CA","06067008204","=""06067008204""","15.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008206","CA","06067008206","=""06067008206""","15.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008207","CA","06067008207","=""06067008207""","14.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008208","CA","06067008208","=""06067008208""","18.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008209","CA","06067008209","=""06067008209""","14.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008210","CA","06067008210","=""06067008210""","12.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008211","CA","06067008211","=""06067008211""","14.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008402","CA","06067008402","=""06067008402""","15.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008403","CA","06067008403","=""06067008403""","15.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008404","CA","06067008404","=""06067008404""","17.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008501","CA","06067008501","=""06067008501""","12.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008504","CA","06067008504","=""06067008504""","13.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008505","CA","06067008505","=""06067008505""","12.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008506","CA","06067008506","=""06067008506""","13.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008507","CA","06067008507","=""06067008507""","14.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067008508","CA","06067008508","=""06067008508""","12.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
