"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pged","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067008111","CA","06067008111","=""06067008111""","3.86","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008113","CA","06067008113","=""06067008113""","5.62","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008117","CA","06067008117","=""06067008117""","0.66","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008119","CA","06067008119","=""06067008119""","5.29","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008120","CA","06067008120","=""06067008120""","1.98","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008122","CA","06067008122","=""06067008122""","3.04","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008124","CA","06067008124","=""06067008124""","2.90","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008125","CA","06067008125","=""06067008125""","1.57","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008127","CA","06067008127","=""06067008127""","2.37","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008128","CA","06067008128","=""06067008128""","9.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008129","CA","06067008129","=""06067008129""","10.95","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008130","CA","06067008130","=""06067008130""","0.86","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008131","CA","06067008131","=""06067008131""","5.88","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008132","CA","06067008132","=""06067008132""","3.14","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008133","CA","06067008133","=""06067008133""","2.23","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008134","CA","06067008134","=""06067008134""","4.50","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008135","CA","06067008135","=""06067008135""","3.75","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008136","CA","06067008136","=""06067008136""","0.51","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008137","CA","06067008137","=""06067008137""","1.56","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008138","CA","06067008138","=""06067008138""","3.28","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067008139","CA","06067008139","=""06067008139""","2.78","2018-2022","2022","Census","Sacramento (County, 2022)"
